Ma,possible_cols,total_cols,total_cols_mean,total_cols_sd,total_area,total_area_mean,total_area_sd
1,949,60,39.73,4.101871955,1409154.507,941367.827,166777.855
2,949,81,53.7,5.054251136,1672959.889,1123953.778,155907.6903
3,949,73,48.04,4.784064457,1527406.474,1012091.156,178174.9082
4,949,94,61.49,5.491030335,1636814.842,1066233.26,173183.6654
5,949,94,61.96,5.806509757,1930500.824,1310841.065,205949.9651
6,949,95,62.24,5.949484317,2039230.029,1361241.568,223434.4399
7,949,101,66.49,6.107612405,2069960.452,1383422.382,214673.9258
8,949,93,61.23,5.720519507,1943049.781,1239030.376,199652.765
9,949,91,59.65,5.902190999,2210423.534,1489970.798,232684.8139
10,949,90,59.16,5.773012798,2119196.588,1450119.864,217321.9733
11,949,103,68.35,6.123930539,2158013.249,1491583.832,213991.7327
12,949,105,69.63,6.12933829,2173597.865,1429998.729,231373.4358
13,949,108,70.8,6.427529176,2095928.494,1389379.384,212827.663
14,949,112,74.38,6.026507104,2170297.657,1472441.763,232595.8707
15,949,109,71.17,6.426043916,2012875.873,1332767.974,226055.3639
16,949,108,69.69,6.194971894,1892275.047,1258362.846,215505.9514
17,949,114,73.32,6.386349078,2047568.269,1359817.518,210519.5079
18,949,100,63.82,6.035885949,1935727.461,1275462.619,228456.1707
19,949,100,64.48,5.978885407,1879022.848,1222455.502,221273.7662
20,949,99,63.99,5.758603577,1826726.847,1232182.884,209753.6248
21,949,90,58.48,5.607498587,1796031.557,1190078.34,226852.2777
22,949,102,66.39,6.528716674,2101270.556,1440922.399,243296.4999
23,949,96,63.21,5.981950967,1950069.505,1391467.541,225401.6524
24,949,95,62.68,5.604615702,2013089.322,1620029.537,261133.0861
25,949,98,63.79,5.841846602,2068318.009,1544541.731,246186.39
26,949,96,62.55,5.898767206,2059099.85,1537975.515,252826.155
27,949,85,56.5,4.85652742,2001852.964,1523412.397,217724.8433
28,949,85,56.64,4.941107715,1926738.351,1466073.483,207668.6066
29,949,92,61.09,5.10316796,2196654.472,1624785.951,224414.4256
30,949,86,57.58,4.905531819,2182542.693,1593110.841,213575.606
31,949,86,56.9,4.831504356,2182473.175,1578214.579,211518.0499
32,949,88,58.43,4.981288219,2271340.042,1645264.539,244031.9038
33,949,85,57.37,4.728283691,2008081.935,1493035.695,199423.4295
34,949,96,62.57,5.617891693,2341562.672,1602866.614,216173.5058
35,949,108,71.23,5.986272174,2498618.001,1698585.004,241624.2359
36,949,102,66.91,5.497648717,2310740.14,1573466.894,206009.1932
37,949,106,68.39,5.954193836,2289004.163,1551385.181,216398.1866
38,949,112,72.37,6.442684364,2342519.444,1512451.183,235588.1183
39,949,117,76.85,6.717044504,2368474.259,1544808.735,255002.6999
40,949,117,76.78,6.589829936,2368583.691,1565875.236,239014.2396
41,949,135,88.56,6.878924041,2826333.102,1910109.45,233616.4727
42,949,143,92.95,7.005589399,2971767.807,1917982.641,233485.7119
43,949,133,88.06,6.927940793,2842639.431,1848261.041,237022.3326
44,949,134,88.44,6.988186279,2886924.946,1880906.12,228840.4
45,949,134,88.46,7.009978458,2886924.946,1875210.378,233800.3114
46,949,138,91.37,6.833747216,2927702.089,1903513.334,226228.262
47,949,140,91.39,7.23891699,2907799.585,1894830.538,253957.9499
48,949,133,87.31,7.138874936,2926893.288,1945460.29,253416.772
49,949,134,87.97,7.169597709,2930076.068,1949312.676,253215.0063
50,949,119,78.77,6.001439221,2603870.315,1836650.033,229146.8365
51,949,113,74.79,5.87460723,2508775.345,1748276.809,234432.3538
52,949,113,74.39,6.031725887,2508601.401,1718174.059,227388.92
53,949,113,74.25,6.241559958,2496227.163,1693298.043,215957.4202
54,949,126,82.01,6.803883324,2910720.66,1989611.968,231884.3282
55,949,125,81.53,6.831973257,2878893.334,1986271.058,215879.1257
56,949,124,80.86,6.818009425,2868668.024,1984268.158,218722.1292
57,949,130,85.2,6.834257144,2975092.868,2059687.621,226733.1164
58,949,127,82.41,6.942905688,2812440.662,1954148.628,212794.9711
59,949,121,78.32,6.152736108,2638389.927,1817238.479,215175.8728
60,949,114,73.85,6.072582863,2662296.293,1759666.231,233989.856
61,949,114,73.73,6.045041377,2662296.293,1755713.566,236564.8294
62,949,115,74.82,6.12888508,2765311.072,1829791.214,235682.9162
63,949,112,73.52,6.459633789,2897106.94,1945040.416,240713.9588
64,949,110,71.92,6.344774355,2912371.415,1946741.855,260829.8763
65,949,91,59.6,5.272378951,2284253.511,1507557.112,226186.5609
66,949,83,54.21,4.872713139,2143498.656,1419505.966,229537.5394
67,949,123,79.81,7.052036027,3012122.289,2032947.003,250918.2488
68,949,185,121.77,9.366666667,4689240.656,3139606.538,312755.0301
69,949,182,119.33,9.121021341,4637300.098,3099469.032,308722.2144
70,949,180,118.2,9.034166349,4602021.771,3090471.506,299500.8359
71,949,203,133.83,9.771174883,5349275.533,3588501.141,343524.509
72,949,202,133.02,9.211301798,5305320.539,3592632.152,332027.8746
73,949,205,135.18,9.515940905,5346539.876,3626097.657,338166.6719
74,949,204,135.17,9.590667813,5327671.663,3602059.141,356276.3133
75,949,223,145.88,10.48257814,5727633.668,3774046.877,351826.6834
76,949,229,148.78,11.19124838,5966557.546,3925156.399,369407.3291
77,949,230,149.53,11.18752462,6001718.811,3931326.73,376291.7466
78,949,230,149.06,11.18875698,6001616.844,3888809.616,383653.6405
79,949,230,149.29,11.1891858,6001671.04,3913904.008,373492.5757
80,949,230,149.68,10.90258055,5981778.008,3912137,368628.1602
81,949,239,157.11,10.68170814,6041426.308,4068599.87,360181.1608
82,949,238,156.1,10.58157346,6039996.234,4025799.56,365746.2291
83,949,238,155.81,10.59130099,6039792.299,4001093.923,361443.5126
84,949,238,155.67,10.76850533,6092459.871,4042765.699,370671.9746
85,949,235,153.73,10.72508153,6023606.295,3956826.625,349460.2117
86,949,238,155.24,10.8953887,6152714.797,4056743.997,369614.1422
87,949,221,144.92,9.872602637,5925691.802,3912240.518,341235.6321
88,949,216,141.94,10.0361166,5962581.662,3925253.606,347917.5264
89,949,221,144.84,10.05210667,6066995.974,3976233.035,383475.0059
90,949,207,135.05,9.994316567,5569154.218,3696989.267,368627.0094
91,949,242,157.56,11.19281877,6496181.349,4294872.783,405701.2071
92,949,247,161.08,11.41829119,6617111.688,4382185.318,425737.7803
93,949,244,159.91,12.06639461,6572127.414,4372552.097,427588.019
94,949,243,159.21,11.63006814,6694626.587,4421976.173,401400.1026
95,949,242,158.32,11.75497316,6694783.888,4455758.397,392585.3906
96,949,232,152.78,10.88654067,6188599.252,4270733.429,372439.1137
97,949,222,146.08,10.27272548,6057537.291,4170069.932,365080.1615
98,949,217,141.44,10.33999785,5952865.959,4050210.829,349608.7756
99,949,246,159.8,11.65757221,6492837.404,4391764.22,363396.4742
100,949,241,156.43,11.39045764,6398235.757,4301526.28,355218.1508
101,949,254,165.72,11.92915112,7287333.998,4894988.905,440221.1963
102,949,256,166.82,12.06412161,7334000.711,4933361.517,445264.7748
103,949,266,172.61,12.10967974,7619499.382,5122780.488,430326.1842
104,949,243,158,11.52511531,7185251.674,4772132.945,436180.6455
105,949,242,157.21,11.71918482,7081136.841,4765682.203,455159.9332
106,949,236,153.92,11.03317312,6800080.032,4608455.928,419553.5195
107,949,235,153.66,11.19904397,6787234.332,4600042.701,432160.0568
108,949,235,153.94,11.07807006,6784319.121,4621084.997,442685.3309
109,949,244,160.65,11.33901373,7050815.215,4943889.237,440016.1455
110,949,256,166.97,12.23709793,6970795.196,4702802.423,414155.0018
111,949,252,164.47,12.44012326,6894748.82,4657627.035,423361.3834
112,949,244,159.66,12.0245708,6590787.95,4483585.759,399930.1476
113,949,244,159.13,12.05513847,6589078.846,4426561.094,396146.7167
114,949,208,135.11,10.21673711,5451399.51,3584046.124,375448.6898
115,949,208,135.73,10.09635898,5452135.032,3608890.428,367514.3143
116,949,208,135.5,10.16977101,5427096.406,3617002.57,371533.1123
117,949,172,112.75,8.555670339,4819519.778,3343755.229,370849.6233
118,949,170,111.28,8.681898038,4784681.133,3277093.625,352058.365
119,949,170,111.24,8.657477646,4784681.133,3283903.685,346320.6063
120,949,169,111.02,8.533925169,4692014.585,3244710.202,361371.9296
121,949,169,110.78,8.526346572,4674898.472,3209747.573,371883.7817
122,949,167,109.61,8.40622064,4653700.516,3163863.091,364583.1823
123,949,171,113.05,8.381527307,4510620.14,3076186.584,326048.4859
124,949,170,112.66,8.493871825,4459048.226,3069797.171,339714.5747
125,949,170,112.66,8.493871825,4459048.226,3069797.171,339714.5747
126,949,151,101.58,7.94956323,3771612.428,2657830.401,325022.1924
127,949,142,95.23,7.488516461,3542265.888,2500338.441,315397.5401
128,949,142,95.23,7.488516461,3542265.888,2500338.441,315397.5401
129,949,142,94.6,7.61975105,3672667.145,2569391.342,340365.3205
130,949,136,90.57,7.244998275,3612082.954,2512821.959,335532.6993
131,949,129,86.1,6.691619967,3429942.782,2418316.977,311699.7774
132,949,128,86.02,6.621025585,3360805.657,2426660.404,330777.5225
133,949,128,86.16,6.362325983,3503465.088,2522196.68,306206.7949
134,949,128,86.16,6.362325983,3503465.088,2522196.68,306206.7949
135,949,131,87.99,6.614179748,3416797.595,2453853.227,324921.381
136,949,131,88.19,6.786342494,3416797.595,2472262.496,302654.364
137,949,131,88.21,6.794672601,3416797.595,2468372.443,301821.9275
138,949,131,88.45,6.791817715,3416803.062,2459890.979,302832.8354
139,949,131,88.64,6.670483756,3488682.802,2519058.585,320059.7555
140,949,130,88.06,6.554850159,3263703.497,2389197.949,289280.4241
141,949,130,87.91,6.59980869,3263703.497,2378593.548,294794.6258
142,949,135,91.03,6.687021955,3212473.112,2344906.95,267052.2329
143,949,136,91.63,6.709942871,3245664.039,2365983.401,266285.4753
144,949,140,94.05,6.759019414,3331434.259,2400002.647,255581.9736
145,949,140,94,6.76592771,3329905.789,2391589.356,259769.9201
146,949,150,99.63,7.278937374,3693866.561,2494880.78,286985.3183
147,949,149,98.34,7.631963619,3787359.565,2592267.838,308105.7443
148,949,149,98.47,7.585812116,3787359.565,2589728.475,300167.6833
149,949,149,98.38,7.627409373,3787359.565,2586633.914,302784.5155
150,949,149,98.32,7.630189905,3784373.737,2585706.63,296446.0444
151,949,144,95.61,7.219355297,3625548.615,2502290.99,274548.0007
152,949,144,95.66,7.286655854,3625548.615,2510360.163,282558.2958
153,949,145,96.7,7.380701015,3634057.571,2651902.178,285251.4916
154,949,148,99.37,7.652364789,3799919.603,2784213.499,267770.6877
155,949,148,99.37,7.652364789,3799919.603,2784213.499,267770.6877
156,949,148,99.4,7.626376345,3799919.603,2783565.434,278150.0362
157,949,148,99.03,7.713892754,3782552.187,2810473.301,275988.2929
158,949,166,108.5,8.411752241,4405150.86,2917731.509,276373.8822
159,949,174,113.54,8.658994273,4614812.433,3037325.402,278465.2191
160,949,172,112.02,8.732824413,4585176.43,3028624.546,285439.2987
161,949,168,108.99,8.713735819,4492247.04,2948417.514,287045.7458
162,949,176,115.22,8.948313988,4780719.125,3086879.196,313043.7652
163,949,175,113.83,8.95336402,4775280.027,3069251.44,314870.5398
164,949,157,101.86,8.365417026,4311435.465,2778125.604,279964.6762
165,949,153,99.69,8.056235429,4221254.62,2769133.55,279794.3278
166,949,166,107.55,8.851610594,4557554.667,2971101.733,291617.5078
167,949,140,90.94,7.5969425,3558691.205,2334693.183,230541.5526
